source;target;message;trackingID;unknown
atm-terminal;terminal-proxy;depositRequest;id-1626254488692;1626254488692
terminal-proxy;bank-service;depositRequest;id-1626254488692;1626254488695
bank-service;balance-service;depositRequest;id-1626254488692;1626254488697
atm-terminal;terminal-proxy;printReceipt;id-1626254489052;1626254489052
terminal-proxy;bank-service;printReceipt;id-1626254489052;1626254489054
atm-terminal;terminal-proxy;checkBalance;id-1626254489697;1626254489697
terminal-proxy;bank-service;checkBalance;id-1626254489697;1626254489700
bank-service;balance-service;checkBalance;id-1626254489697;1626254489702
atm-terminal;terminal-proxy;printReceipt;id-1626254490298;1626254490298
terminal-proxy;bank-service;printReceipt;id-1626254490298;1626254490301
atm-terminal;terminal-proxy;checkBalance;id-1626254490613;1626254490613
terminal-proxy;bank-service;checkBalance;id-1626254490613;1626254490618
