Column1,Column2,Column3,Column4,Column5,Column6
"Jun 1, 2021 @ 09:07:01.313",Event,InputInkoopfactuur.InputInkoopfactuurProjector,5e99a04bc8204f90820a6b326bc7226b,InputInkoopfactuur.InputInkoopfactuurAggregateRoot,InputInkoopfactuur.InputInkoopfactuurChildUpdatedEvent
"Jun 1, 2021 @ 09:07:01.293",Event,InputInkoopfactuur.InputInkoopfactuurProjector,5e99a04bc8204f90820a6b326bc7226b,InputInkoopfactuur.InputInkoopfactuurAggregateRoot,InputInkoopfactuur.InputInkoopfactuurChildUpdatedEvent
"Jun 1, 2021 @ 09:07:01.272",Event,InputInkoopfactuur.InputInkoopfactuurProjector,5e99a04bc8204f90820a6b326bc7226b,InputInkoopfactuur.InputInkoopfactuurAggregateRoot,InputInkoopfactuur.InputInkoopfactuurUpdatedEvent
"Jun 1, 2021 @ 09:07:01.232",Event,InputBetaling.InputBetalingProjector,5e99a04bc8204f90820a6b326bc7226b,InputBetaling.InputBetalingAggregateRoot,InputBetaling.InputBetalingUpdatedEvent
"Jun 1, 2021 @ 09:06:03.491",Event,InputInkoopfactuur.InputInkoopfactuurProjector,c0b906d8707d4ca5bb329c5450a33a92,InputInkoopfactuur.InputInkoopfactuurAggregateRoot,InputInkoopfactuur.InputInkoopfactuurDraftCreatedEvent
"Jun 1, 2021 @ 09:06:03.470",Event,InputBetaling.InputBetalingProjector,c0b906d8707d4ca5bb329c5450a33a92,InputBetaling.InputBetalingAggregateRoot,InputBetaling.InputBetalingDraftCreatedEvent
"Jun 1, 2021 @ 09:03:57.829",Event,InputInkoopfactuur.InputInkoopfactuurProjector,0128514aefe34b1d88b35fe281e4c769,Settings.Inkoopfactuur_Inkoopproduct_PrcntgVrhgngBdrgInclSyncProjector,Settings.Inkoopfactuur_Inkoopproduct_PrcntgVrhgngBdrgInclGewijzigdEvent
"Jun 1, 2021 @ 09:03:57.828",Event,Settings.Inkoopfactuur_Inkoopproduct_PrijsSyncProjector,0128514aefe34b1d88b35fe281e4c769,Settings.Inkoopfactuur_Inkoopproduct_PrijsProcessingProjector,Settings.Inkoopfactuur_Inkoopproduct_PrijsApplyEndEvent
"Jun 1, 2021 @ 09:03:57.828",Event,InputInkoopfactuur.InputInkoopfactuurProjector,0128514aefe34b1d88b35fe281e4c769,Settings.Inkoopfactuur_Inkoopproduct_PrijsSyncProjector,Settings.Inkoopfactuur_Inkoopproduct_PrijsGewijzigdEvent
"Jun 1, 2021 @ 09:03:57.828",Event,Settings.Inkoopfactuur_Inkoopproduct_PrcntgVrhgngBdrgInclSyncProjector,0128514aefe34b1d88b35fe281e4c769,Settings.Inkoopfactuur_Inkoopproduct_PrcntgVrhgngBdrgInclProcessingProjector,Settings.Inkoopfactuur_Inkoopproduct_PrcntgVrhgngBdrgInclApplyEndEvent
"Jun 1, 2021 @ 09:03:57.827",Event,Settings.Inkoopfactuur_Inkoopproduct_PrcntgVrhgngBdrgInclSyncProjector,0128514aefe34b1d88b35fe281e4c769,Settings.Inkoopfactuur_Inkoopproduct_PrcntgVrhgngBdrgInclProcessingProjector,Settings.Inkoopfactuur_Inkoopproduct_PrcntgVrhgngBdrgInclApplyEvent
